Drug Name,Uses,SideEffect
Doxycycline,"doxycycline is a tetracycline antibiotic that inhibits bacterial growth and is thought to have anti-inflammatory effects. doxycycline is used for bacterial infections, including acne, rosacea, urinary and respiratory tract infections, eye infections, gum disease, gonorrhea, chlamydia, and syphilis. doxycycline can also be used to prevent malaria and treat infections caused by mites, ticks, or lice.","common doxycycline side effects the most common doxycycline side effects include nausea and vomiting, upset stomach, loss of appetite, mild diarrhea, skin rash or itching, darkened skin color, and vaginal itching or discharge. serious doxycycline side effects get emergency medical help if you have any signs of an allergic reaction to doxycycline (symptoms include hives, difficulty breathing, and swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning in your eyes, skin pain, red or purple skin rash that spreads and causes blistering and peeling). seek medical treatment if you have a serious drug reaction that can affect many parts of your body. symptoms may include skin rash, fever, swollen glands, flu-like symptoms, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. this reaction may occur several weeks after you begin using this medicine. other serious doxycycline side effects may occur. call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; throat irritation, trouble swallowing; chest pain, irregular heart rhythm, feeling short of breath; little or no urination; low white blood cell counts - fever, chills, swollen glands, body aches, weakness, pale skin, easy bruising or bleeding; severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes; loss of appetite, upper stomach pain (that may spread to your back), tiredness, nausea or vomiting, fast heart rate, dark urine, jaundice (yellowing of the skin or eyes). this is not a complete list of side effects, and others may occur. call your doctor for medical advice about side effects. you may also report side effects to the fda at 1-800-fda-1088. doxycycline side effects (more detail)"
Dupixent,"dupixent (dupilumab) may be used to treat moderate-to-severe eczema, moderate-to-severe eosinophilic or oral-corticosteroid-dependent asthma, chronic rhinosinusitis with nasal polyps, copd with an eosinophilic phenotype, eosinophilic esophagitis, or prurigo nodularis. dupixent is self-administered by subcutaneous (under the skin) injection once every 1 to 4 weeks.","the most common side effects of dupixent are: pain, swelling, burning, or irritation where the dupixent injection was given  dupixent injections may hurt. see why do dupixent injections hurt so much?   upper respiratory tract infections, such as a cold with symptoms such as a stuffy nose, sneezing, or sore throat eye problems, including eye and eyelid inflammation, redness, swelling, and itching, sometimes with blurred vision and pain. see why does dupixent cause eye problems? for more information dry eyes or watery eyes herpes virus infections or other viral infections cold sores in your mouth or on your lips high counts of certain white blood cells (eosinophilia) back pain inflammation inside the nose (rhinitis) dizziness muscle or joint pain diarrhea pain in the throat (oropharyngeal pain) gastritis trouble sleeping (insomnia) toothache parasitic (helminth) infections headache urinary tract infections. the following additional side effects have been reported with dupixent: facial rash or redness. although weight gain is not listed as a side effect of dupixent in the dupixent package insert, anecdotally, some people have reported gaining weight; see does dupixent cause weight gain? serious side effects and warnings dupixent can cause the following serious side effects. allergic reactions. dupixent can cause allergic reactions that can sometimes be severe. hypersensitivity reactions dupixent has been associated with include anaphylaxis, serum sickness, angioedema, urticaria, rash, erythema nodosum, and erythema multiforme. do not use dupixent if you are allergic to dupilumab or any of the ingredients. stop dupixent immediately and contact your healthcare provider or get emergency help right away if you get any of the following signs or symptoms: breathing problems or wheezing fast pulse fever general ill feeling swollen lymph nodes swelling of the face, lips, mouth, tongue, or throat hives itching nausea or vomiting fainting, dizziness, feeling lightheaded joint pain skin rash cramps in your stomach area. eye problems. tell your healthcare provider if you have any new or worsening eye problems while taking dupixent, including eye pain or changes in vision, such as blurred vision, conjunctivitis, or keratitis. if needed, your healthcare provider may send you to an ophthalmologist for an eye exam. see why does dupixent cause eye problems? for more information. dupixent may cause inflammation of your blood vessels. rarely, this can happen in people with asthma who receive dupixent this may happen in people who also take a steroid medicine by mouth that is being stopped or the dose is being lowered. it is not known whether dupixent causes this. tell your healthcare provider right away if you have: rash worsening shortness of breath persistent fever chest pain a feeling of pins and needles or numbness of your arms or legs. joint aches and pain. joint aches and pain can happen in people who use dupixent. some people have had trouble walking or moving due to their joint symptoms and in some cases needed to be hospitalized. tell your healthcare provider about any new or worsening joint symptoms. your healthcare provider may stop dupixent if you develop joint symptoms. may increase the risk of developing eosinophilic conditions. tell your doctor if you develop a red or purple rash, shortness of breath, or tingling or nerve pain in your hands or feet. any pre-existing worm or parasitic (helminth) infections should be treated before initiating dupixent. if patients become infected during treatment and do not respond to antihelminths, then discontinue dupixent until the infection resolves. your healthcare provider will decide if you need to continue with oral, topical, or inhaled corticosteroids while being treated with dupixent. corticosteroids should be reduced gradually, do not stop these suddenly without your doctor’s advice. avoid receiving live vaccines with dupixent because it may reduce how well your immune system responds to the vaccine. dupixent will not relieve sudden breathing problems in asthma or copd and will not replace an inhaled rescue medicine, such as albuterol. it is not known if dupixent is safe and effective for children with: atopic dermatitis under 6 months of age asthma under 6 years of age chronic rhinosinusitis with nasal polyposis under 12 years of age eosinophilic esophagitis under 1 year of age, or who weigh less than 33 pounds (15 kg) copd with an eosinophilic phenotype under 18 years of age prurigo nodularis under 18 years of age. tell your healthcare provider if you have any side effect that bothers you or that does not go away. these are not all of the possible side effects of dupixent. call your doctor for medical advice about side effects. you may report side effects to the fda at 1-800-fda-1088. dupixent side effects (more detail)"
Entresto,entresto is an oral combination prescription heart medication that contains two blood pressure-lowering medications: sacubitril and valsartan. entresto is used to treat adults with long-lasting (chronic) heart failure to help reduce the risk of death and hospitalization and to treat certain children aged 1 year and older who have symptomatic heart failure.,"the most common side effects of entresto are: low blood pressure high potassium levels cough dizziness kidney problems. serious side effects and warnings entresto carries a boxed warning for fetal toxicity (harm to an unborn baby). entresto or entresto sprinkle can harm or cause death to your unborn baby. talk to your doctor about other ways to treat heart failure if you plan to become pregnant. do not use entresto if you are pregnant. stop using and tell your doctor right away if you become pregnant. entresto can cause injury or death to the unborn baby if you take the medicine during your second or third trimester. entresto can cause serious allergic reactions called angioedema which can cause swelling of your face, lips, tongue, and throat that may cause trouble breathing and death. get emergency medical help right away if you have symptoms of angioedema or trouble breathing and do not take entresto again. people who are african american, or who have had angioedema before, are at higher risk of developing angioedema. do not take entresto if you are allergic to sacubitril, valsartan (diovan), entresto, any of the inactive ingredients in the tablets or pellets, or if you have ever had a severe allergic reaction, such as angioedema (a serious swelling under the skin) to a blood pressure medication such as: an ace inhibitor, such as benazepril, captopril, enalapril, or lisinopril, or an arb, such as candesartan, irbesartan, losartan, or telmisartan. get emergency medical help if you have signs of an allergic reaction to entresto such as hives; difficulty breathing; or swelling of your face, lips, tongue, or throat. entresto should not be taken with an ace inhibitor, or within 36 hours of taking one. if you have diabetes or kidney disease, do not use entresto together with any medication that contains aliskiren (brand names tekturna or tekamlo). low blood pressure is common during treatment with entresto, especially if you also take water pills (diuretics). call your doctor if you become dizzy, lightheaded, or if you develop extreme tiredness (fatigue). kidney problems are common during treatment with entresto and can be serious and can lead to kidney failure. your healthcare provider will check your kidney function during treatment. entresto may also increase levels of potassium in your blood and you will also be monitored for this. increased amount of potassium in your blood (hyperkalemia). increased blood potassium levels are common during treatment with entresto. your doctor will check your potassium blood level during your treatment. call your doctor at once if you have: a light-headed feeling, like you might pass out extreme tiredness high potassium - slow heart rate, weak pulse, muscle weakness, tingly feeling or kidney problems - little or no urinating, painful or difficult urination, swelling in your feet or ankles, feeling tired or short of breath. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to the fda at 1-800-fda-1088. entresto side effects (more detail)"
Entyvio,"entyvio (vedolizumab) is used for ulcerative colitis (uc) or crohn's disease to help improve symptoms, induce remission, and may also reduce the need for steroid medicines to control symptoms long-term. entyvio is a selective immunosuppressant that works to control inflammation and symptoms of ulcerative colitis or crohn's disease by preventing too many white blood cells from entering your gi tract (intestine). entyvio works selectively in the gut to decrease inflammation and does not usually lead to system-wide immunosuppression.","common entyvio side effects the most common side effects of entyvio include fever, sore throat, flu symptoms; cold symptoms such as stuffy nose, sinus pain, sneezing, cough with mucus, shortness of breath, chest discomfort, pain in your arms or legs, tiredness; headache, joint pain, back pain, rash, itching, or nausea. serious entyvio side effects get emergency medical help if you have signs of an allergic reaction to entyvio: hives, difficulty breathing, swelling of your face, lips, tongue, or throat. some side effects may occur during the injection. tell your caregiver if you feel dizzy, nauseated, light-headed, itchy, sweaty, or have a headache, chest tightness, back pain, trouble breathing, or swelling in your face. vedolizumab may cause a serious brain infection that can lead to disability or death. call your doctor right away if you have problems with speech, thought, vision, or muscle movement. these symptoms may start gradually and get worse quickly. call your doctor at once if you have: fever, chills, body aches, cold or flu symptoms, mouth and throat ulcers, skin sores; pain, warmth, swelling, or oozing around your anal area; nausea, vomiting, severe diarrhea, diarrhea that is watery or bloody, stomach cramps, weight loss; cough, pain when swallowing; or liver problems - nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to the fda at 1-800-fda-1088. entyvio side effects (more detail)"
Farxiga,"farxiga (dapagliflozin) is an oral medication that may be given to certain people with diabetes, heart disease, or kidney disease to improve their outcomes. specifically, farxiga is used to:","the most common side effects of farxiga are: female genital yeast infections (vaginal thrush) urinary tract infections nasopharyngitis (a runny or stuffy nose). serious side effects farxiga can cause the following serious side effects. diabetic ketoacidosis (increased ketones in your blood or urine) in people with type 1 diabetes and other ketoacidosis. farxiga can cause ketoacidosis that can be life-threatening and may lead to death. ketoacidosis is a serious condition that needs to be treated in a hospital. people with type 1 diabetes have a high risk of getting ketoacidosis. people with type 2 diabetes or pancreas problems also have an increased risk of getting ketoacidosis. ketoacidosis can also happen in people who are sick, cannot eat or drink as usual, skip meals, are on a diet high in fat and low in carbohydrates (ketogenic diet), take less than the usual amount of insulin, or miss insulin doses, drink too much alcohol, have a loss of too much fluid from the body (volume depletion), or who have surgery. ketoacidosis can happen even if your blood sugar is less than 250 mg/dl. your healthcare provider may ask you to periodically check ketones in your urine or blood. stop taking farxiga and call your healthcare provider or get medical help right away if you get any of the following: nausea tiredness vomiting trouble breathing stomach area (abdominal) pain ketones in your urine or blood. if possible, check for ketones in your urine or blood, even if your blood sugar is less than 250 mg/dl. dehydration. farxiga can cause some people to become dehydrated (the loss of body water and salt). dehydration may cause you to feel dizzy, faint, lightheaded, or weak, especially when you stand up (orthostatic hypotension). there have been reports of sudden kidney injury in people with type 2 diabetes who are taking farxiga. you may be at a higher risk of dehydration if you: take medicines to lower your blood pressure, including water pills (diuretics) are on a low-salt diet have kidney problems are 65 years of age or older. talk to your healthcare provider about what you can do to prevent dehydration including how much fluid you should drink daily. call your healthcare provider right away if you reduce the amount of food or liquid you drink, for example, if you cannot eat or you start to lose liquid from your body, for example from vomiting, diarrhea, or being in the sun too long. vaginal yeast infections. women who take farxiga may get vaginal yeast infections. symptoms of a vaginal yeast infection include: vaginal odor white or yellowish vaginal discharge (discharge may be lumpy or look like cottage cheese) vaginal itching. yeast infection of the penis (balanitis). swelling of an uncircumcised penis may develop in men who take farxiga which makes it difficult to pull back the skin around the tip of the penis. other symptoms of yeast infection of the penis include: redness, itching, or swelling of the penis foul-smelling discharge from the penis rash of the penis pain in the skin around the penis. allergic reactions. farxiga may cause an allergic reaction. do not take farxiga if you have a history of serious hypersensitivity reactions to dapagliflozin, farxiga, or any of the inactive ingredients in the tablets. serious reactions, including anaphylaxis and angioedema, have been reported. farxiga should not be used in patients with type 1 diabetes to improve blood sugar control because it may increase their risk of diabetic ketoacidosis. not recommended to improve blood sugar control in people with type 2 diabetes with moderate to severe kidney disease (an egfr of less than 45 ml/min/1.73 m2) (likely to be ineffective in this setting). dosages of insulin or other medications that increase insulin release may need reducing to avoid the risk of hypoglycemia. farxiga may increase the risk of hypoglycemia developing when combined with these medications. serious, life-threatening cases of necrotizing fasciitis of the perineum (fournier’s gangrene) have been reported in patients with diabetes prescribed farxiga. if you develop pain or tenderness, redness, or swelling in your genital or perineal area, along with fever or malaise, see your doctor immediately. some side effects may be more likely to occur in older adults. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to the fda at 1-800-fda-1088. farxiga side effects (more detail)"
Fentanyl,"fentanyl is a prescription opioid used to treat moderate to severe pain, but it can be misused, abused, and cause overdose deaths when obtained illegally. fentanyl is a synthetic opioid medicine that is up to 100 times stronger than other opioids like morphine, heroin, or oxycodone. fentanyl is from the class of medicines called narcotic analgesics.","common fentanyl side effects when used as a prescribed medicine, common fentanyl side effects may include: headache, dizziness, drowsiness, pale skin, feeling weak or tired constipation, nausea, vomiting, stomach pain or sleep problems (insomnia) swelling in your hands or feet increased sweating or cold feeling for patches itching, redness, or rash where a patch was worn. serious fentanyl side effects get emergency medical help if you have signs of an allergic reaction to fentanyl: hives, difficulty breathing, swelling of your face, lips, tongue, or throat. like other narcotic medicines, fentanyl can slow your breathing. death may occur if breathing becomes too weak. a person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue-colored lips, or if you are hard to wake up. fentanyl may cause other serious side effects. call your doctor at once if you have: slow heart rate, sighing, shallow breathing, breathing that stops during sleep; severe drowsiness, feeling like you might pass out; confusion, extreme fear, unusual thoughts or behavior; or low cortisol levels - nausea, vomiting, loss of appetite, dizziness, worsening tiredness or weakness. seek medical attention immediately if you have symptoms of serotonin syndrome, such as agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. serious side effects may be more likely in older adults and those who are malnourished or debilitated. long-term use of opioid medication may affect fertility (ability to have children) in men or women. it is not known whether opioid effects on fertility are permanent. this is not a complete list of side effects, and others may occur. call your doctor for medical advice about side effects. you may report side effects to the fda at 1-800-fda-1088. fentanyl side effects (more detail)"
Gabapentin,"gabapentin (neurontin, gralise, horizant) is a medicine used to treat partial seizures, nerve pain from shingles and restless leg syndrome. it works on the chemical messengers in your brain and nerves.  gabapentin is from a group of medicines called anticonvulsants.","get emergency medical help if you have signs of an allergic reaction to gabapentin: hives, difficult breathing, swelling of your face, lips, tongue, or throat. seek medical treatment if you have a serious drug reaction that can affect many parts of your body. symptoms may include skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. tell your doctor right away if you have new or sudden changes in mood or behavior, including new or worse depression or anxiety, panic attacks, trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, more active or talkative, or have thoughts about suicide or hurting yourself. gabapentin can slow or stop your breathing, especially if you have recently used an opioid medication or alcohol. a person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. some side effects are more likely in children taking gabapentin. call your doctor if the child has any of the following side effects: behavior changes, memory problems, trouble concentrating, or acting restless, hostile, or aggressive. gabapentin may cause serious side effects. call your doctor at once if you have: drowsiness, dizziness, weakness;   problems with balance or muscle movement; or   increased seizures. common gabapentin side effects may include: fever, chills, sore throat, body aches, tiredness;   headache;   swelling of your legs and feet;   trouble speaking;   vision problems, dizziness, drowsiness;   tremors, problems with balance or muscle movement; or   nausea, vomiting. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. gabapentin side effects (more detail)"
Gemtesa,"gemtesa is used to treat overactive bladder (oab) symptoms, including urinary urgency, urinary frequency, and urge incontinence, which is when you have a strong need to urinate with leaking or wetting accidents. gemtesa works by relaxing the bladder muscle so it can hold more urine, this may also reduce the urgent need to use the bathroom and may reduce the number of urinary leakages you have.  gemtesa generic name is vibegron.","common gemtesa sise effects the most common gemtesa side effects include nausea (12%), diarrhea (12%), headache (22%), urinary tract infection (6.6%), or cold symptoms (15%) such as stuffy nose, sneezing, and sore throat, which can affect 2% or more of patients taking this medicine. other side effects that occurred were dry mouth, constipation, urinary retention, and hot flush, these side effects occured in 2% or less of patients. serious gemtesa side effects get emergency medical help if you have signs of an allergic reaction to gemtesa with symptoms of hives; difficulty breathing; and swelling of your face, lips, tongue, or throat. call your doctor at once if: you are unable to completely empty your bladder; or you have pain or burning when you urinate. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to the fda at 1-800-fda-1088. gemtesa side effects (more detail)"
Humira,"humira is used to treat many inflammatory conditions in adults, such as rheumatoid arthritis (ra), psoriatic arthritis (pa), ankylosing spondylitis (as), plaque psoriasis, and a skin condition called hidradenitis suppurativa.","the most common side effects of humira include: injection site reactions: redness, rash, swelling, itching, or bruising. these symptoms usually go away within a few days. call your doctor right away if you have pain, redness, or swelling around the injection site that does not go away within a few days or gets worse upper respiratory infections (including sinus infections) headaches rash. serious side effects and warnings humira is a medicine that affects your immune system and has a boxed warning for serious infections and cancer. serious infections. humira can lower the ability of your immune system to fight infections. serious infections have happened in people taking humira. these serious infections include tuberculosis (tb) and infections caused by viruses, fungi, or bacteria that have spread throughout the body. some people have died from these infections. your doctor should test you for tb before starting humira. your doctor should check you closely for signs and symptoms of tb during treatment with humira. you should not start taking humira if you have any kind of infection unless your doctor says it is okay. after starting humira, call your doctor right away if you have an infection or any signs of an infection. humira can make you more likely to get infections or worsen any infection you may have. cancer. for children and adults taking tumor necrosis factor (tnf)-blockers, including humira, the chances of getting cancer may increase. there have been cases of unusual cancers in children, teenagers, and young adults using tnf-blockers. people with rheumatoid arthritis (ra), especially more serious ra, may have a higher chance for getting a kind of cancer called lymphoma. if you use tnf blockers including humira your chance of getting two types of skin cancer may increase (basal cell cancer and squamous cell cancer of the skin). these types of cancer are generally not life-threatening if treated. tell your doctor if you have a bump or open sore that does not heal. some people receiving tnf blockers including humira developed a rare type of cancer called hepatosplenic t-cell lymphoma. this type of cancer often results in death. most of these people were male teenagers or young men. also, most people were being treated for crohn’s disease or ulcerative colitis with another medicine called imuran (azathioprine) or purinethol (6-mercaptopurine, 6–mp). tuberculosis (tb). your doctor will examine you for tb and perform a test to see if you have tb. if your doctor feels that you are at risk for tb, you may be treated with medicine for tb before you begin treatment with humira and during treatment with humira. even if your tb test is negative your doctor should carefully monitor you for tb infections while you are taking humira. people who had a negative tb skin test before receiving humira have developed active tb. tell your doctor if you have any of the following symptoms while taking or after taking humira: cough that does not go away low-grade fever weight loss loss of body fat and muscle (wasting). hepatitis b infection in people who carry the virus in their blood. if you are a carrier of the hepatitis b virus (a virus that affects the liver), the virus can become active while you use humira. your doctor should do blood tests before you start treatment, while you are using humira, and for several months after you stop treatment with humira. tell your doctor if you have any of the following symptoms of a possible hepatitis b infection: muscle aches feel very tired dark urine skin or eyes look yellow little or no appetite vomiting clay-colored bowel movements fever chills stomach discomfort skin rash. allergic reactions. allergic reactions can happen in people who use humira. call your doctor or get medical help right away if you have any of these symptoms of a serious allergic reaction: hives trouble breathing swelling of your face, eyes, lips, or mouth. nervous system problems. signs and symptoms of a nervous system problem include: numbness or tingling, problems with your vision, weakness in your arms or legs, and dizziness. blood problems. your body may not make enough of the blood cells that help fight infections or help to stop bleeding. symptoms include a fever that does not go away, bruising or bleeding very easily, or looking very pale. new heart failure or worsening of heart failure you already have. call your doctor right away if you get new worsening symptoms of heart failure while taking humira, including: shortness of breath sudden weight gain swelling of your ankles or feet. immune reactions including a lupus-like syndrome. symptoms include chest discomfort or pain that does not go away, shortness of breath, joint pain, or a rash on your cheeks or arms that get worse in the sun. symptoms may improve when you stop humira. liver problems. liver problems can happen in people who use tnf-blocker medicines. these problems can lead to liver failure and death. call your doctor right away if you have any of these symptoms: feel very tired skin or eyes look yellow poor appetite or vomiting pain on the right side of your stomach (abdomen). psoriasis. some people using humira had new psoriasis or worsening of psoriasis they already had. tell your doctor if you develop red scaly patches or raised bumps that are filled with pus. your doctor may decide to stop your treatment with humira. call your doctor or get medical care right away if you develop any of the above symptoms. your treatment with humira may be stopped. call your doctor right away if you: new or worsening psoriasis (raised, silvery flaking of the skin); a sore or bump on your skin that does not heal; symptoms of sepsis - confusion, chills, severe drowsiness, fast heartbeats, rapid breathing, feeling very ill; liver problems - body aches, tiredness, stomach pain, right-sided upper stomach pain, vomiting, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); lupus-like syndrome - joint pain or swelling, chest pain, shortness of breath, patchy skin color that worsens in sunlight; nerve problems - numbness, tingling, dizziness, vision problems, weakness in your arms or legs; or signs of tuberculosis - fever with ongoing cough, weight loss (fat or muscle). these are not all the possible side effects of humira. tell your doctor if you have any side effect that bothers you or that does not go away. ask your doctor or pharmacist for more information. call your doctor for medical advice about side effects. you may report side effects to the fda at 1-800-fda-1088. humira side effects (more detail)"
Hydrochlorothiazide,"hydrochlorothiazide is a thiazide diuretic (water pill) that helps prevent your body from absorbing too much salt, which can cause fluid retention.","get emergency medical help if you have signs of an allergic reaction to hydrochlorothiazide (hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling). call your doctor at once if you have: a light-headed feeling;   eye pain, vision problems;   jaundice (yellowing of the skin or eyes);   pale skin, easy bruising, unusual bleeding (nose, mouth, vagina, or rectum);   shortness of breath, wheezing, cough with foamy mucus, chest pain;   dehydration symptoms - feeling very thirsty or hot, being unable to urinate, heavy sweating, or hot and dry skin; or   signs of an electrolyte imbalance - increased thirst or urination, confusion, vomiting, constipation, muscle pain, leg cramps, bone pain, lack of energy, irregular heartbeats, tingly feeling. common hydrochlorothiazide side effects may include: weakness;   feeling like you might pass out;   severe pain in your upper stomach spreading to your back, nausea and vomiting;   fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath; or   electrolyte imbalance. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. hydrochlorothiazide side effects (more detail)"
Ibuprofen,ibuprofen is a nonsteroidal anti-inflammatory drug (nsaid). it works by reducing hormones that cause inflammation and pain in the body.,"get emergency medical help if you have signs of an allergic reaction to ibuprofen (hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling). get emergency medical help if you have signs of a heart attack or stroke: chest pain spreading to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, leg swelling, feeling short of breath. stop using this medicine and call your doctor at once if you have: changes in your vision;   shortness of breath (even with mild exertion);   swelling or rapid weight gain;   a skin rash, no matter how mild;   signs of stomach bleeding - bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds;   liver problems - nausea, upper stomach pain, itching, tired feeling, flu-like symptoms, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes);   low red blood cells (anemia) - pale skin, feeling light-headed or short of breath, rapid heart rate, trouble concentrating; or   kidney problems - little or no urinating, painful or difficult urination, swelling in your feet or ankles, feeling tired or short of breath. common ibuprofen side effects may include: nausea, vomiting, gas;   bleeding; or   dizziness, headache. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. ibuprofen side effects (more detail)"
Imbruvica,"imbruvica (ibrutinib) is used to treat waldenström’s macroglobulinemia (wm), chronic lymphocytic leukemia (cll), small lymphocytic lymphoma (sll) and chronic graft versus host disease (cgvhd) in certain patients. imbruvica is used to help slow cancer or disease progression in wm, cll, sll and cgvhd.  imbruvica is taken once a day as a capsule, tablet or oral suspension.","common side effects of imbruvica common imbruvica side effects may include diarrhea, nausea, stomach pain, fever, cough, trouble breathing, mouth sores, feeling tired, low blood cell counts (including low platelets, low red and white blood cell counts), muscle spasms, bruising, rash; or muscle, joint, or bone pain. serious side effects of imbruvica get emergency medical help if you have signs of an allergic reaction: hives, difficulty breathing, swelling of your face, lips, tongue, or throat. imbruvica may cause a brain infection that can lead to disability or death. tell your doctor if you have problems with speech, thought, vision, or muscle movement. these symptoms can get worse quickly. liver problems, which may be severe or life-threatening, or lead to death, can happen in people treated with imbruvica. your healthcare provider will do blood tests to check your liver before and during treatment. tell your healthcare provider or get medical help right away if you have any signs of liver problems, including stomach pain or discomfort, dark-colored urine, or yellow skin and eyes. second primary cancers. new cancers have happened during treatment with imbruvica, including cancers of the skin or other organs. you may get infections more easily, even serious or fatal infections. call your doctor right away if you have signs of infection such as: fever, chills, sore throat mouth sores, red or swollen gums; pale skin, easy bruising, unusual bleeding; or chest discomfort, wheezing, dry cough or hack, rapid weight loss. imbruvica can cause you to bleed more easily. call your doctor or seek emergency medical attention if you have: easy bruising, unusual bleeding, or any bleeding that will not stop; bleeding inside your body - weakness, dizziness; pink or brown urine; abnormal vaginal bleeding; bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; or bleeding in your brain - sudden weakness (especially on one side of the body), severe headache, problems with speech or vision. imbruvica may cause serious side effects. call your doctor at once if you have: severe or ongoing diarrhea; heart problems - swelling, rapid weight gain, feeling short of breath; heart rhythm disorders - dizziness, chest pain, shortness of breath, fast or irregular heart rate, feeling light-headed; high blood pressure- severe headache, blurred vision, pounding in your neck or ears; low blood cell counts - fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath; kidney problems - swelling, urinating less, feeling tired or short of breath; liver problems - stomach pain or discomfort, dark-colored urine, or yellow skin and eyes; signs of tumor cell breakdown - tiredness, weakness, muscle cramps, nausea, vomiting, diarrhea, fast or slow heart rate, tingling in your hands and feet or around your mouth. your cancer treatments may be delayed or permanently discontinued if you have certain side effects. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. imbruvica side effects (more detail)"
Januvia,januvia is an oral diabetes medicine that helps control blood sugar levels. it works by regulating the levels of insulin your body produces after eating.,"get emergency medical help if you have signs of an allergic reaction to januvia (hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning in your eyes, skin pain, red or purple skin rash that spreads and causes blistering and peeling). stop taking januvia and call your doctor right away if you have symptoms of pancreatitis: severe pain in your upper stomach spreading to your back, with or without vomiting. call your doctor at once if you have: severe autoimmune reactionitching, blisters, breakdown of the outer layer of skin;   severe or ongoing pain in your joints;   little or no urination; or   symptoms of heart failureshortness of breath (even while lying down), swelling in your legs or feet, rapid weight gain. common januvia side effects may include: low blood sugar;   headache; or   runny or stuffy nose, sore throat. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. januvia side effects (more detail)"
Jardiance,jardiance (empagliflozin) is an fda-approved tablet used to help control blood sugar levels in type 2 diabetes and is also used to reduce the risk of cardiovascular problems in adults with heart failure or cardiovascular disease with type 2 diabetes. jardiance lowers blood glucose levels (hba1c) by helping the kidney increase the amount of glucose passing into the urine. jardiance should be used together with diet and exercise when prescribed for type 2 diabetes.,"get emergency medical help if you have signs of an allergic reaction to jardiance: hives; difficult breathing; swelling of your face, lips, tongue, or throat. seek medical attention right away if you have signs of a serious genital infection (penis or vagina): burning, itching, odor, discharge, pain, tenderness, redness or swelling of the genital or rectal area, fever, not feeling well. these symptoms may get worse quickly. amputations. jardiance belongs to a groupd of medicines called sglt2 inhibitors which may increase your risk of lower limb amputations. you may be at a higher risk of lower limb amputation if you have a history of amputation, have had blocked or narrowed blood vessels usually in your leg, or have had diabetic foot infection, ulcers or sores. call your healthcare provider right away if you have new pain or tenderness, any sores, ulcers, or infections in your leg or foot. talk to your healthcare provider about proper foot care. serious jardiance side effects call your doctor at once if you have: a light-headed feeling, like you might pass out; low blood sugar - headache, hunger, weakness, sweating, confusion, irritability, dizziness, fast heart rate, or feeling jittery; dehydration - dizziness, confusion, feeling very thirsty, less urination; ketoacidosis (too much acid in the blood) - nausea, vomiting, stomach pain, confusion, unusual drowsiness, or trouble breathing; or signs of a bladder infection - pain or burning when you urinate, blood in your urine, pain in pelvis or back. common jardiance side effects may include: a bladder infection; or yeast infection in women (vaginal itching or discharge). this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. jardiance side effects (more detail)"
